Student ID,Name,Age,Gender,Branch,Average GPA,Backlogs,Attendance (%),Clubs,Skills,Internship Done,Internship Domain,Placement Status,Placement Domain,CTC (LPA),Alumni Path,Sem1 GPA,Sem2 GPA,Sem3 GPA,Sem4 GPA,Sem5 GPA,Sem6 GPA,Sem7 GPA,Sem8 GPA
05a321d4-578e-468a-a1bf-4038a4de8d28,Pooja,22.0,Female,CIVIL,6.71,3.0,86.48,"Literary Society, Entrepreneurship Cell","SQL, Web Development, Java",No,,Placed,Hardware,10.9,Job,6.4,8.17,5.33,5.51,7.14,7.03,6.28,7.81
3c088990-54a2-4051-bb0c-cad9eee13cae,Michael Meadows,23.0,Female,MECH,6.58,1.0,70.52,Cultural Club,"SQL, C++, Web Development",No,,Placed,Software,9.38,Higher Studies,7.36,5.28,6.64,5.78,8.18,6.42,5.91,7.03
30de38b1-b636-4896-9fd9-75371d069988,Pooja,19.0,Female,EEE,7.24,2.0,65.67,Cultural Club,"Java, Data Science",No,,Placed,Hardware,13.17,Research,7.22,7.58,7.34,7.6,6.72,7.74,7.34,6.36
0411292b-9b9f-42dc-8f42-74c780290ce1,Anil,21.0,Male,CIVIL,7.54,0.0,74.41,"Sports Club, Literary Society, Robotics","Web Development, Data Science",Yes,Research,Not Placed,,0.0,,5.92,6.78,9.13,8.06,7.21,7.55,8.02,7.68
2c222096-5250-47fe-86f0-33f945641768,Neha,21.0,Female,CSE,7.49,0.0,94.13,"Coding Club, Entrepreneurship Cell, Cultural Club","SQL, C++, Web Development",No,,Placed,Software,8.58,Higher Studies,6.64,9.5,7.78,7.08,7.31,7.41,7.44,6.76
4490d77e-016f-4ace-8f4b-a812bf94bdaf,Karan,23.0,Male,EEE,6.87,0.0,70.09,Robotics,"SQL, Web Development, Java, Python",No,,Placed,Software,5.66,Job,8.18,6.79,5.03,6.89,7.65,5.99,8.33,6.08
e82c7d7b-06e7-45f9-88bc-539c9f4c3b79,Justin Johnson,23.0,Female,CIVIL,7.24,0.0,72.32,"Cultural Club, Sports Club, Literary Society","Data Science, Web Development",Yes,Higher Studies,Placed,Core Engineering,14.98,Research,7.14,7.45,6.87,8.09,4.9,9.94,6.13,7.4
d23484de-a436-415a-9041-63731d745f08,Rahul,23.0,Male,ECE,7.2,2.0,84.17,"Coding Club, Entrepreneurship Cell","C++, Data Science, SQL",Yes,Higher Studies,Not Placed,,0.0,,6.8,6.39,7.14,7.01,8.35,6.89,8.37,6.68
74f76d09-739c-4fa5-9bfc-270c85494255,Amanda Forbes,20.0,Female,ECE,7.02,0.0,89.66,"Sports Club, Coding Club","Python, SQL, Data Science, C++, Java",Yes,Core Engineering,Placed,Research,14.79,Job,6.86,7.65,8.4,7.33,6.03,6.1,7.73,6.04
880bcb0e-c8ab-46ac-a0b4-659a09fe4cdd,Autumn Olson,22.0,Male,EEE,6.86,0.0,98.63,"Entrepreneurship Cell, Literary Society, Sports Club","Machine Learning, Java, C++, Python, Data Science",Yes,Higher Studies,Placed,Hardware,3.14,Research,7.13,6.15,5.93,6.02,8.21,7.4,6.21,7.87
c1590f53-8a0f-4efb-adcd-465e36386821,Christina Collins,19.0,Female,ECE,6.87,0.0,88.04,Cultural Club,"Data Science, Python, C++, Java",Yes,Higher Studies,Placed,Consulting,4.24,Research,7.98,6.85,6.17,6.68,7.41,6.44,6.18,7.24
0cf173f9-74d9-41f5-8877-58043fde9814,Michele Hill,21.0,Female,IT,7.08,1.0,82.59,"Entrepreneurship Cell, Literary Society","C++, Web Development, Python",No,,Placed,Core Engineering,8.77,Research,8.0,6.7,6.8,7.44,7.35,7.46,5.37,7.56
631d9c8b-e0f0-4e79-81f7-4651a033edad,Robin Johnson,19.0,Male,ECE,6.94,3.0,69.49,"Sports Club, Literary Society, Cultural Club","Machine Learning, Data Science, Java, Python",No,,Not Placed,,0.0,,6.54,6.97,7.27,6.4,8.07,6.79,6.21,7.23
ca8e858c-d0f8-4063-889f-e107443b1d0f,Amy Davies,19.0,Female,CSE,7.16,0.0,86.89,Cultural Club,"Data Science, Python",Yes,Research,Placed,Research,6.34,Higher Studies,6.55,6.9,8.79,7.44,6.66,6.32,6.41,8.24
698f546d-5f29-4290-9848-5a54531c8812,Jessica Swanson,23.0,Female,CIVIL,6.7,2.0,80.13,"Coding Club, Sports Club","C++, Python, Web Development, SQL",No,,Placed,Consulting,18.75,Higher Studies,7.35,8.05,6.36,5.32,6.7,7.76,6.58,5.5
5667ac99-2136-4f0d-96d4-a0d028e648ad,Divya,18.0,Female,EEE,7.1,1.0,63.66,"Entrepreneurship Cell, Coding Club","C++, SQL, Web Development",No,,Not Placed,,0.0,,8.98,6.95,5.44,6.6,7.5,7.53,5.91,7.93
7aa061e9-336b-40cb-b1fe-ad13f280df1d,Vincent Novak,19.0,Female,IT,6.67,1.0,96.62,"Robotics, Literary Society","Data Science, Python, C++, SQL",Yes,Research,Not Placed,,0.0,,6.67,7.74,7.13,5.01,7.94,6.61,5.73,6.56
e7a44fad-e32b-43ad-96d7-0de3f597a515,Anil,19.0,Male,IT,7.3,0.0,87.38,Coding Club,"Machine Learning, Python, Web Development",No,,Not Placed,,0.0,,7.17,6.82,7.87,8.23,7.34,6.09,7.51,7.38
0d810ca6-4fee-4e9f-b557-87121f011458,Rakhi,19.0,Female,IT,7.31,0.0,60.23,Coding Club,"Python, C++, SQL",Yes,Consulting,Not Placed,,0.0,,7.91,7.52,8.67,6.21,7.98,6.58,7.19,6.44
27b7f912-31fc-466d-8913-89de414a9f3a,Sonal,19.0,Female,EEE,7.01,1.0,96.52,"Entrepreneurship Cell, Coding Club, Robotics","Python, Web Development, SQL, Machine Learning",Yes,Higher Studies,Placed,Hardware,15.83,Startup,7.18,5.15,7.46,6.89,8.13,6.33,6.8,8.12
4082cbb9-48bd-4b3e-a2f5-df2badaa44ca,Mary Escobar,23.0,Female,ECE,6.8,0.0,71.76,"Coding Club, Literary Society","Java, Web Development",Yes,Software,Placed,Hardware,7.03,Job,7.67,8.37,6.42,7.13,5.68,6.39,7.39,5.33
bd1531c8-3764-4bda-b108-d4482f65fafa,Dr. William Warren,21.0,Female,EEE,6.97,2.0,75.45,"Literary Society, Entrepreneurship Cell","Java, Data Science, Machine Learning, Web Development, SQL",Yes,Higher Studies,Not Placed,,0.0,,6.69,8.03,7.29,6.27,6.8,6.62,6.91,7.15
64dea18b-c401-4870-a647-b0c6dd431dce,Neha,22.0,Female,MECH,7.62,1.0,71.68,"Cultural Club, Robotics, Literary Society","SQL, Machine Learning, Java",Yes,Research,Placed,Higher Studies,13.11,Job,6.82,8.32,7.56,8.14,9.39,6.88,7.17,6.64
b526b22d-3f6c-41f7-8a05-37f02c2cd22b,Jeffrey Mills,21.0,Female,IT,7.22,3.0,65.27,"Entrepreneurship Cell, Robotics, Coding Club","Web Development, Java",Yes,Hardware,Not Placed,,0.0,,7.43,4.37,7.04,8.34,7.09,8.73,6.74,8.0
2d7e4a45-2099-471f-8b65-7bccb0416f19,Tiffany Fry,19.0,Male,MECH,7.38,0.0,72.69,"Cultural Club, Sports Club","SQL, Python, Web Development, Java, C++",No,,Placed,Core Engineering,7.79,Research,7.22,8.29,6.87,5.68,9.14,6.53,7.16,8.16
69bcdf4c-f0f4-4cf5-ae95-1c33ed5d4e6b,Vikram,19.0,Male,MECH,6.63,0.0,99.38,"Sports Club, Coding Club","Python, Java, Data Science, C++",No,,Placed,Research,14.33,Research,6.31,7.69,6.68,5.84,7.2,7.4,7.56,4.38
2db13deb-ee6f-4bea-8df7-164713769ff9,Hayden Shannon,20.0,Female,ECE,7.19,0.0,97.77,"Cultural Club, Robotics, Entrepreneurship Cell","Machine Learning, Web Development",Yes,Higher Studies,Not Placed,,0.0,,5.33,7.81,8.54,6.57,7.68,7.13,6.62,7.84
02106371-0260-4123-b1ef-e72aae13591e,Ruth Mcneil,18.0,Female,ECE,7.6,0.0,82.46,"Sports Club, Robotics, Literary Society","Python, Web Development, C++, Data Science",Yes,Hardware,Not Placed,,0.0,,6.94,7.43,7.5,7.04,7.62,6.58,9.22,8.49
77e8b762-bb7e-4979-92dc-bffd59008d65,Ronald Rocha,19.0,Female,EEE,7.09,1.0,96.64,"Entrepreneurship Cell, Literary Society, Cultural Club","Python, Data Science, Java, C++, Machine Learning",Yes,Consulting,Placed,Software,16.23,Higher Studies,7.67,7.81,6.36,6.97,5.56,8.7,8.07,5.6
94a1875d-2db6-4edb-82de-ffccf86c2ca2,Deborah Rodriguez,19.0,Male,ECE,6.86,2.0,78.21,"Cultural Club, Literary Society, Sports Club","Data Science, Python, Java, C++, SQL",Yes,Consulting,Not Placed,,0.0,,5.75,9.61,6.27,6.64,6.18,7.62,6.8,6.04
de285d9b-4a10-446d-a1d9-e78b8d87831a,Siddharth,23.0,Male,IT,6.49,1.0,78.09,Cultural Club,"C++, Java",Yes,Research,Not Placed,,0.0,,7.14,7.71,4.77,8.88,7.06,5.38,6.09,4.87
70f74c24-936a-4caa-8eb7-e59d3d57ab40,Priya,23.0,Female,ECE,6.88,1.0,60.96,"Literary Society, Robotics, Cultural Club","SQL, Java",No,,Placed,Higher Studies,8.7,Startup,7.32,7.13,6.67,5.99,6.21,7.1,5.89,8.77
171dabf9-daf4-41a7-ba34-d2e8dd3f7d7e,Katie Ford,21.0,Male,CIVIL,6.56,0.0,66.7,Cultural Club,"Java, SQL, Machine Learning, Web Development",No,,Placed,Core Engineering,5.5,Job,7.34,7.31,6.33,6.82,6.34,6.3,5.27,6.77
be91c7cb-61be-4118-ba42-f58ffa3f02af,Suresh,20.0,Male,CSE,6.5,2.0,74.98,"Robotics, Literary Society, Coding Club","SQL, Web Development",No,,Not Placed,,0.0,,6.76,8.87,6.98,6.07,5.71,6.89,5.01,5.7
6e218b09-9afd-4015-816b-cb9f7426b193,Michael Farrell,19.0,Female,CSE,6.68,1.0,91.35,"Cultural Club, Robotics","Machine Learning, Data Science, Java, SQL, Python",Yes,Consulting,Placed,Core Engineering,7.86,Startup,7.07,6.36,6.0,5.9,8.25,5.48,8.22,6.13
73d0b6c7-f62e-4f88-9c29-850b410bfc29,James Barber,23.0,Male,CSE,7.16,2.0,61.73,"Coding Club, Cultural Club, Robotics","SQL, Data Science, Python, Java, C++",No,,Not Placed,,0.0,,7.69,6.74,6.56,6.97,7.04,7.89,7.59,6.84
dfd410a5-920d-434b-bd1d-6eabacc0b7b9,Rahul,19.0,Male,ECE,7.27,2.0,75.31,Sports Club,"Data Science, Machine Learning, C++, Web Development",No,,Placed,Core Engineering,11.95,Job,6.6,6.79,7.44,6.21,8.04,7.75,7.02,8.32
46e349aa-76d4-4385-82b4-139a2008b32c,Kavya,18.0,Female,EEE,6.92,0.0,75.32,"Literary Society, Sports Club","Web Development, Data Science, SQL",Yes,Consulting,Not Placed,,0.0,,5.12,5.48,6.98,7.29,7.48,6.7,9.53,6.77
c163c40d-c257-4c67-bf3c-2c9f289b8ca3,Ramya,21.0,Female,CSE,6.9,3.0,76.78,"Sports Club, Literary Society, Robotics","Machine Learning, Python",Yes,Software,Placed,Higher Studies,7.21,Higher Studies,5.8,6.67,6.53,6.35,8.77,7.4,5.74,7.92
da39a452-3fed-4e75-a8ad-f5d1e23378bc,Anita,21.0,Female,CIVIL,6.84,1.0,64.56,Cultural Club,"Web Development, SQL",Yes,Hardware,Placed,Hardware,14.49,Research,7.69,6.56,6.15,6.36,7.7,6.37,6.88,7.02
3b72c86d-92fa-475f-a6fd-0cb116e6e5c0,Miranda Zuniga,22.0,Female,MECH,6.94,0.0,85.02,"Literary Society, Cultural Club","Machine Learning, Data Science, C++",No,,Not Placed,,0.0,,7.61,6.14,6.08,5.86,6.92,8.21,6.03,8.68
7d3c2acf-2efe-4192-bee5-74494b3b8444,Suresh,19.0,Male,CSE,6.89,1.0,60.43,"Entrepreneurship Cell, Cultural Club, Sports Club","SQL, Web Development, Java",Yes,Software,Not Placed,,0.0,,6.37,7.84,6.12,7.67,6.21,5.8,5.85,9.26
ad409244-cd35-46ef-9c37-07394a629c5e,Parker Davis,23.0,Female,IT,6.91,1.0,96.08,Coding Club,"SQL, C++",No,,Not Placed,,0.0,,6.71,5.83,7.34,5.03,7.62,7.02,8.9,6.8
d3018cc8-4d38-4068-a91b-41710aaf9e1c,Pooja,23.0,Female,EEE,6.76,0.0,79.06,"Coding Club, Entrepreneurship Cell, Sports Club","Machine Learning, C++, Web Development, SQL, Python",No,,Placed,Core Engineering,8.41,Higher Studies,6.46,5.65,5.87,6.94,6.93,7.33,6.91,7.98
bf303c93-4f7e-4cf4-877e-4785f8aa1d26,Divya,19.0,Female,MECH,6.53,2.0,97.96,Coding Club,"Web Development, SQL, Java",No,,Not Placed,,0.0,,7.41,7.92,5.07,6.18,6.57,6.19,5.45,7.42
60053cac-074d-4100-83cb-9ae38505147b,Priya,20.0,Female,CSE,6.71,1.0,85.04,Entrepreneurship Cell,"Web Development, Java, C++",Yes,Research,Not Placed,,0.0,,5.59,7.5,5.96,8.28,6.74,7.13,7.41,5.07
bf11858a-0877-4089-bbc9-97ac5aa9f4b0,Ramya,18.0,Female,IT,7.43,2.0,83.41,"Cultural Club, Sports Club","Machine Learning, Java, Web Development, SQL",No,,Placed,Research,15.34,Startup,6.89,8.53,6.38,8.44,7.26,8.23,7.22,6.52
1f3cea1d-2271-47ca-b887-73ed4af715b7,Denise Rose,22.0,Female,EEE,6.54,1.0,86.95,"Entrepreneurship Cell, Literary Society","Web Development, Data Science",No,,Placed,Core Engineering,15.4,Job,7.18,5.66,6.04,5.82,6.46,6.82,5.83,8.47
9ee8cd8e-f660-4018-a217-2c7bf66b5dea,Pooja,22.0,Female,CIVIL,7.45,1.0,95.82,"Cultural Club, Entrepreneurship Cell, Robotics","SQL, Java",No,,Placed,Consulting,5.76,Higher Studies,7.81,8.13,6.97,5.58,6.88,8.46,8.54,7.21
a5c5650c-8186-4576-91a7-26095eddbbbf,Samuel Short,18.0,Female,IT,6.98,0.0,85.61,"Sports Club, Cultural Club, Coding Club","Python, C++, Java, SQL, Web Development",No,,Placed,Core Engineering,7.61,Job,5.37,8.58,5.56,5.78,5.98,9.08,7.49,7.97
713b7bd8-ecea-4668-8c31-a7deab2ec2d0,Rakesh,22.0,Male,CIVIL,7.66,1.0,64.73,Coding Club,"Machine Learning, SQL",No,,Placed,Core Engineering,15.93,Startup,6.46,8.24,6.41,7.08,7.83,7.45,8.35,9.49
0a820385-4cd1-44b3-a9e9-ff9b7726b007,Anil,18.0,Male,ECE,7.34,0.0,83.29,"Coding Club, Cultural Club","C++, SQL",No,,Not Placed,,0.0,,8.0,6.33,8.39,6.75,7.29,7.26,6.87,7.81
12b2102d-940c-4503-b7c8-6152beed0af9,Gregory Brown,23.0,Male,EEE,6.82,1.0,87.49,Literary Society,"Web Development, SQL",No,,Not Placed,,0.0,,6.37,7.73,6.8,6.54,7.04,5.25,7.49,7.38
09294329-0450-46e9-a6fc-935a61a1b56a,Anita,22.0,Female,ECE,7.63,2.0,78.97,Coding Club,"Web Development, Machine Learning, Python, Data Science",Yes,Software,Not Placed,,0.0,,7.54,7.85,9.57,6.38,7.02,7.08,7.7,7.88
93d3e232-90c1-4270-bf6c-4a5e69726acd,Priya,23.0,Female,CSE,7.09,2.0,69.36,"Cultural Club, Robotics","Python, SQL, Java, Web Development, Data Science",No,,Placed,Hardware,3.85,Research,8.89,6.84,7.7,6.16,7.31,5.7,7.45,6.64
2477f047-8336-4758-99f9-3502a55bc44f,Daniel Davenport,22.0,Female,IT,7.03,1.0,61.78,"Coding Club, Robotics","Python, Data Science, Web Development, SQL, C++",No,,Not Placed,,0.0,,5.94,7.31,7.41,7.35,8.5,6.91,6.97,5.83
c2baf0e0-2179-43f0-a612-4ab4f9b21e6e,Justin Flores,18.0,Male,EEE,6.66,0.0,97.74,"Entrepreneurship Cell, Cultural Club","Web Development, Python, Data Science, Machine Learning, SQL",Yes,Higher Studies,Placed,Consulting,17.81,Startup,5.86,7.72,6.2,5.94,6.99,6.87,7.25,6.43
5e1ce083-3e88-4611-968b-663a0101b9bd,Sonal,22.0,Female,EEE,6.53,0.0,75.72,"Entrepreneurship Cell, Sports Club, Coding Club","C++, Data Science, Java, Machine Learning",No,,Not Placed,,0.0,,7.45,5.13,5.84,6.72,6.7,5.79,7.39,7.25
7b4e9ecd-de07-47b1-b8ae-8d5dfe268e77,Ronald Burke,22.0,Male,CIVIL,7.53,3.0,77.5,"Cultural Club, Sports Club","SQL, Data Science, Python",No,,Not Placed,,0.0,,5.82,7.46,8.6,7.46,6.3,7.99,9.37,7.24
317304b5-c1dd-484a-aca5-8d95915a1c30,Scott Prince,20.0,Female,MECH,7.15,0.0,79.02,"Coding Club, Entrepreneurship Cell","Python, Web Development, Machine Learning, C++",No,,Placed,Core Engineering,15.87,Research,8.16,7.05,4.83,6.49,8.79,7.3,7.69,6.91
56082672-f232-472f-bea0-d84d37fd1e7a,Priya,21.0,Female,ECE,6.84,2.0,95.25,Cultural Club,"Web Development, SQL, Data Science, Python",Yes,Core Engineering,Placed,Higher Studies,8.58,Research,8.23,6.82,5.99,6.02,6.7,6.7,7.91,6.33
d7fa2d8d-fb2c-4025-adf4-e62d6651529e,Teresa Wilson,20.0,Male,MECH,7.74,3.0,86.8,Cultural Club,"C++, Python, SQL, Web Development",No,,Not Placed,,0.0,,7.22,8.95,7.69,8.29,7.8,7.93,7.04,7.01
ea4f4a80-dc41-4176-9b59-f28ea9de5b26,John Proctor,21.0,Female,EEE,7.5,3.0,90.54,"Coding Club, Literary Society, Entrepreneurship Cell","Web Development, Machine Learning, Python",Yes,Software,Not Placed,,0.0,,8.12,7.68,7.19,8.52,7.42,8.3,7.61,5.16
fc618045-9449-4b77-814e-888e8cc8b919,Rahul,23.0,Male,MECH,7.13,0.0,86.02,Cultural Club,"Java, Python, Web Development, Data Science, Machine Learning",No,,Placed,Core Engineering,6.61,Job,5.99,6.66,6.97,6.63,6.84,7.41,8.24,8.31
d024ffeb-1ab4-4f04-b211-e54703896994,Pooja,21.0,Female,ECE,7.23,2.0,89.0,"Cultural Club, Sports Club","Machine Learning, Java",Yes,Software,Not Placed,,0.0,,7.83,7.25,6.54,7.86,7.9,7.06,7.44,5.97
9591f52f-5f95-474c-be22-4ffd427ab8a5,Sonal,21.0,Female,ECE,6.72,0.0,84.32,"Entrepreneurship Cell, Sports Club","Machine Learning, C++, Data Science, Web Development, SQL",Yes,Software,Not Placed,,0.0,,7.89,7.13,5.97,6.8,5.01,8.3,6.18,6.47
adbbe85f-c36a-4d82-845d-a30d5498c23d,Sonal,23.0,Female,ECE,6.88,1.0,60.96,"Literary Society, Robotics, Cultural Club","SQL, Java",No,,Placed,Higher Studies,8.7,Startup,7.32,7.13,6.67,5.99,6.21,7.1,5.89,8.77
8a94a11e-d032-40c1-abaf-2ec6fff785e4,Rakesh,21.0,Male,CIVIL,7.41,0.0,84.97,Coding Club,"Java, Machine Learning, SQL, Data Science",No,,Placed,Higher Studies,17.1,Higher Studies,8.67,8.76,6.86,6.65,5.49,7.0,8.95,6.87
ee4205ee-a52f-43ec-ab4e-2281b184d1fc,Ms. Katherine Taylor MD,18.0,Male,CIVIL,7.02,3.0,67.19,Cultural Club,"Web Development, Python, C++, SQL",Yes,Core Engineering,Placed,Consulting,4.7,Research,6.63,6.67,7.17,6.12,5.56,8.37,8.46,7.18
5c508720-f982-44e0-8603-156a15eacbcf,Joseph Romero,22.0,Male,IT,6.4,1.0,85.66,Coding Club,"SQL, Web Development, Data Science, Java, Machine Learning",No,,Not Placed,,0.0,,6.54,6.31,5.85,5.25,6.61,7.16,6.9,6.58
d2d3e316-189e-46e2-b704-b1079ad0107d,Divya,20.0,Female,EEE,6.61,0.0,71.33,"Robotics, Sports Club","Machine Learning, Python, Data Science, Java",No,,Not Placed,,0.0,,7.8,6.15,6.18,8.12,5.12,6.85,7.44,5.25
e97aa4d3-b749-4c3b-bbd4-98e6d6d72555,Anita,18.0,Female,CIVIL,6.48,0.0,90.07,"Entrepreneurship Cell, Literary Society","C++, Web Development",Yes,Consulting,Placed,Hardware,18.41,Research,6.83,6.14,5.76,7.17,6.82,6.56,7.08,5.48
18e214db-b595-468c-90ff-5ccd68c9b9cb,Suresh,19.0,Male,EEE,7.54,1.0,89.69,"Entrepreneurship Cell, Sports Club","SQL, Python",No,,Placed,Core Engineering,13.93,Higher Studies,6.72,6.8,6.65,9.63,9.06,7.3,7.42,6.76
5275eb94-14ae-4f5c-a636-58c912d0498d,Ana Hill,23.0,Male,CIVIL,6.94,2.0,92.0,"Cultural Club, Sports Club, Coding Club","SQL, Data Science, Python, Java",Yes,Higher Studies,Not Placed,,0.0,,5.48,6.64,7.89,7.58,7.5,7.05,7.01,6.34
83599af6-5d01-455f-a7fd-64c4a334058a,Meghan Cisneros,21.0,Female,EEE,6.61,0.0,73.57,"Sports Club, Literary Society, Coding Club","SQL, Java, Data Science",No,,Not Placed,,0.0,,8.43,6.42,4.74,5.82,7.22,6.02,6.91,7.34
e5ee7127-0257-40a3-b7e1-e57774dbb993,Ramya,22.0,Female,CSE,7.52,1.0,75.66,"Entrepreneurship Cell, Robotics, Coding Club","Data Science, Web Development, Machine Learning, Python",Yes,Consulting,Not Placed,,0.0,,8.71,7.82,8.77,6.6,7.25,7.81,4.67,8.51
e4ee0371-ffdf-4e5e-bf86-5b5c1523dd80,Ramya,20.0,Female,MECH,7.45,1.0,97.24,"Coding Club, Robotics, Sports Club","Python, Java",No,,Placed,Research,12.4,Job,9.1,6.54,6.72,6.56,7.24,7.59,8.09,7.76
948f664a-9565-457b-a267-d32fddcbf4bc,Andrea Preston,18.0,Female,ECE,7.31,1.0,70.19,Robotics,"SQL, Python, Java, Data Science, Machine Learning",No,,Placed,Software,16.13,Startup,6.66,8.16,7.65,7.37,7.62,6.43,6.29,8.27
0f32dcaf-3195-403f-a653-71abf497ae71,Siddharth,23.0,Male,EEE,6.7,2.0,94.74,Sports Club,"Machine Learning, Data Science",Yes,Consulting,Not Placed,,0.0,,5.37,6.5,7.35,8.39,5.77,7.79,6.94,5.48
